Created,
"2021-06-01 00:00:00","222004"
"2021-07-01 00:00:00","211981"
"2021-08-01 00:00:00","207515"
"2021-09-01 00:00:00","203515"
"2021-10-01 00:00:00","205891"
"2021-11-01 00:00:00","205554"
"2021-12-01 00:00:00","193094"
"2022-01-01 00:00:00","202884"
"2022-02-01 00:00:00","195361"
"2022-03-01 00:00:00","213987"
"2022-04-01 00:00:00","199675"
"2022-05-01 00:00:00","206356"
"2022-06-01 00:00:00","196740"
"2022-07-01 00:00:00","193419"
"2022-08-01 00:00:00","197875"
"2022-09-01 00:00:00","186205"
"2022-10-01 00:00:00","191764"
"2022-11-01 00:00:00","198949"
"2022-12-01 00:00:00","176016"
"2023-01-01 00:00:00","174944"
"2023-02-01 00:00:00","156890"
"2023-03-01 00:00:00","160050"
"2023-04-01 00:00:00","129206"
"2023-05-01 00:00:00","125754"
"2023-06-01 00:00:00","115921"
"2023-07-01 00:00:00","115530"
"2023-08-01 00:00:00","113487"
"2023-09-01 00:00:00","101051"
"2023-10-01 00:00:00","103575"
"2023-11-01 00:00:00","99202"
"2023-12-01 00:00:00","85625"
"2024-01-01 00:00:00","93126"
"2024-02-01 00:00:00","90256"
"2024-03-01 00:00:00","90557"
"2024-04-01 00:00:00","86139"
"2024-05-01 00:00:00","81778"
"2024-06-01 00:00:00","62821"
"2024-07-01 00:00:00","63756"
"2024-08-01 00:00:00","56687"
"2024-09-01 00:00:00","48678"
"2024-10-01 00:00:00","43897"
"2024-11-01 00:00:00","38030"
"2024-12-01 00:00:00","33727"
"2025-01-01 00:00:00","34390"
"2025-02-01 00:00:00","29694"
"2025-03-01 00:00:00","30557"
"2025-04-01 00:00:00","24129"
"2025-05-01 00:00:00","20572"
"2025-06-01 00:00:00","16799"
"2025-07-01 00:00:00","14353"
"2025-08-01 00:00:00","9986"
"2025-09-01 00:00:00","12377"
"2025-10-01 00:00:00","11116"
"2025-11-01 00:00:00","8390"
"2025-12-01 00:00:00","6866"
"2026-01-01 00:00:00","3461"
